Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntIronSinkRound,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Counter Sink Hole Round",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Fregadero de encimera con hoyo redondo","Caisse de rangement en fer  [ddcdfa](144) - Évier de comptoir, trou rond","Cassa di stoccaggio di ferro  [ddcdfa](144) - Lavandino con bancone arrotondato con foro","鉄製ストレージ  [ddcdfa](144) - カウンター（シンク・穴・丸型）","철제 보관함  [ddcdfa](144) - 카운터 싱크대 구멍 원형","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada – zlew, dziura, okrągła","Caixote de deposito de ferro  [ddcdfa](144) - Buraco de pia de balcão redondo","Железный складской ящик  [ddcdfa](144) - Основание для мойки с круглым отверстием","Demir Depolama Sandığı  [ddcdfa](144) - Tezgah Eviye Deliği Yuvarlak","铁储藏箱  [ddcdfa](144) - 柜台 水槽 有洞 圆弧","鐵儲藏箱  [ddcdfa](144) - 櫃檯盥洗盆圓孔"
cntIronHollowTop,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Counter Hollow Top",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Theke – hohl, oben","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Parte superior de encimera hueca","Caisse de rangement en fer  [ddcdfa](144) - Comptoir creux, haut","Cassa di stoccaggio di ferro  [ddcdfa](144) - Parte superiore vuota del banco","鉄製ストレージ  [ddcdfa](144) - カウンター（中空・上部）","철제 보관함  [ddcdfa](144) - 카운터 비어있음 상단","Skrzynia na towary – żelazna  [ddcdfa](144) - Lada – pusta, góra","Caixote de deposito de ferro  [ddcdfa](144) - Topo oco de balcão","Железный складской ящик  [ddcdfa](144) - Верх пустой стойки","Demir Depolama Sandığı  [ddcdfa](144) - Tezgâh Oyuk Üst","铁储藏箱  [ddcdfa](144) - 柜台 中空 顶部","鐵儲藏箱  [ddcdfa](144) - 櫃檯空心頂部"
cntIronBevelBookCase,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Cube Corner Beveled Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Würfel – Ecke, abgeschrägt, Bücherregal – voll","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Esquina de cubo biselado de estantería llena","Caisse de rangement en fer  [ddcdfa](144) - Angle de cube, biseauté, bibliothèque pleine","Cassa di stoccaggio di ferro  [ddcdfa](144) - Angolo del cubo smussato con libreria piena","鉄製ストレージ  [ddcdfa](144) - キューブ（コーナー・斜角・ブックケース・満タン）","철제 보관함  [ddcdfa](144) - 육면체 모서리 경사 책장 꽉 참","Skrzynia na towary – żelazna  [ddcdfa](144) - Sześcian – róg, faseta, regał na książki, pełny","Caixote de deposito de ferro  [ddcdfa](144) - Estante de livros cheia biselada de cubo de canto","Железный складской ящик  [ddcdfa](144) - Куб с полным книжным шкафом, срезанный угол","Demir Depolama Sandığı  [ddcdfa](144) - Küp Köşe Pahlı Kitaplık, Dolu","铁储藏箱  [ddcdfa](144) - 方块 拐角 斜角 书架 完整","鐵儲藏箱  [ddcdfa](144) - 完整方塊角斜面書櫃"
cntIronBookCase,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Bookcase Full",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Bücherregal – voll","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Estantería llena","Caisse de rangement en fer  [ddcdfa](144) - Bibliothèque pleine","Cassa di stoccaggio di ferro  [ddcdfa](144) - Libreria piena","鉄製ストレージ  [ddcdfa](144) - ブックケース（満タン）","철제 보관함  [ddcdfa](144) - 책장 꽉참","Skrzynia na towary – żelazna  [ddcdfa](144) - Regał na książki – pełny","Caixote de deposito de ferro  [ddcdfa](144) - Estante de livros cheia","Железный складской ящик  [ddcdfa](144) - Полный книжный шкаф","Demir Depolama Sandığı  [ddcdfa](144) - Kitaplık Dolu","铁储藏箱  [ddcdfa](144) - 书架 完整","鐵儲藏箱  [ddcdfa](144) - 滿書櫃"
cntIronMorticianDrawer,blocks,block,,,"Iron Storage Crate  [ddcdfa](144) - Mortician Drawer",n/a  [ddcdfa](144) - n/a,"Eisen-Aufbewahrungskiste  [ddcdfa](144) - Leichenbestatter-Schublade","Embalaje de almacenamiento de hierro  [ddcdfa](144) - Cajón del funerario","Caisse de rangement en fer  [ddcdfa](144) - Tiroir croque-mort","Cassa di stoccaggio di ferro  [ddcdfa](144) - Cassetto del becchino","鉄製ストレージ  [ddcdfa](144) - 葬儀屋の引き出し","철제 보관함  [ddcdfa](144) - 장의사용 서랍","Skrzynia na towary – żelazna  [ddcdfa](144) - Szuflada kostnicy","Caixote de deposito de ferro  [ddcdfa](144) - Gaveta de agente funerário","Железный складской ящик  [ddcdfa](144) - Ящик гробовщика","Demir Depolama Sandığı  [ddcdfa](144) - Morg Çekmecesi","铁储藏箱  [ddcdfa](144) - 殡葬业者抽屉","鐵儲藏箱  [ddcdfa](144) - 送葬者抽屜"
cntSteelCube,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Cube",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - Würfel","Embalaje de almacenamiento de acero  [ddcdfa](168) - Cubo","Caisse de rangement en acier  [ddcdfa](168) - Cube","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - Cubo","鉄鋼製ストレージ  [ddcdfa](168) - キューブ","강철 보관함  [ddcdfa](168) - 육면체","Skrzynia na towary – stalowa  [ddcdfa](168) - Sześcian","Caixote de deposito de aço  [ddcdfa](168) - Cubo","Стальной складской ящик  [ddcdfa](168) - Куб","Çelik Depolama Sandığı  [ddcdfa](168) - Küp","钢储藏箱  [ddcdfa](168) - 方块","鋼儲藏箱  [ddcdfa](168) - 方塊"
cntSteelHalf,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Cube Half",n/a  [ddcdfa](168) - ,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - 1/2-Würfel","Embalaje de almacenamiento de acero  [ddcdfa](168) - 1/2 cubo","Caisse de rangement en acier  [ddcdfa](168) - 1/2 cube","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - 1/2 cubo","鉄鋼製ストレージ  [ddcdfa](168) - キューブ1/2","강철 보관함  [ddcdfa](168) - 육면체 1/2","Skrzynia na towary – stalowa  [ddcdfa](168) - Sześcian 1/2","Caixote de deposito de aço  [ddcdfa](168) - 1/2 cubo","Стальной складской ящик  [ddcdfa](168) - Куб 1/2","Çelik Depolama Sandığı  [ddcdfa](168) - Küp 1/2","钢储藏箱  [ddcdfa](168) - 方块 1/2","鋼儲藏箱  [ddcdfa](168) - 1/2 方塊"
cntSteelBevel,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Cupboard Corner",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - Schrank – Ecke","Embalaje de almacenamiento de acero  [ddcdfa](168) - Esquina de despensa","Caisse de rangement en acier  [ddcdfa](168) - Coin de placard","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - Credenza angolare","鉄鋼製ストレージ  [ddcdfa](168) - カップボード（コーナー）","강철 보관함  [ddcdfa](168) - 찬장 모서리","Skrzynia na towary – stalowa  [ddcdfa](168) - Kredens – róg","Caixote de deposito de aço  [ddcdfa](168) - Canto de guarda-louça","Стальной складской ящик  [ddcdfa](168) - Угловой буфет","Çelik Depolama Sandığı  [ddcdfa](168) - Büfe Köşe","钢储藏箱  [ddcdfa](168) - 碗柜 拐角","鋼儲藏箱  [ddcdfa](168) - 碗櫥轉角"
cntSteelBuffet,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Buffet Counter",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - Buffet-Theke","Embalaje de almacenamiento de acero  [ddcdfa](168) - Mostrador de bufet","Caisse de rangement en acier  [ddcdfa](168) - Comptoir de buffet","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - Banco del buffet","鉄鋼製ストレージ  [ddcdfa](168) - ブッフェ（カウンター）","강철 보관함  [ddcdfa](168) - 뷔페 카운터","Skrzynia na towary – stalowa  [ddcdfa](168) - Lada bufetowa","Caixote de deposito de aço  [ddcdfa](168) - Balcão de bufê","Стальной складской ящик  [ddcdfa](168) - Стойка буфета","Çelik Depolama Sandığı  [ddcdfa](168) - Açık Büfe Tezgâhı","钢储藏箱  [ddcdfa](168) - 自助餐柜台","鋼儲藏箱  [ddcdfa](168) - 自助餐櫃檯"
cntSteelSinkRound,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Counter Sink Hole Round",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - Eingelassenes Waschbecken – rundes Loch","Embalaje de almacenamiento de acero  [ddcdfa](168) - Fregadero de encimera con hoyo redondo","Caisse de rangement en acier  [ddcdfa](168) - Évier de comptoir, trou rond","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - Lavandino con bancone arrotondato con foro","鉄鋼製ストレージ  [ddcdfa](168) - カウンター（シンク・穴・丸型）","강철 보관함  [ddcdfa](168) - 카운터 싱크대 구멍 원형","Skrzynia na towary – stalowa  [ddcdfa](168) - Lada – zlew, dziura, okrągła","Caixote de deposito de aço  [ddcdfa](168) - Buraco de pia de balcão redondo","Стальной складской ящик  [ddcdfa](168) - Основание для мойки с круглым отверстием","Çelik Depolama Sandığı  [ddcdfa](168) - Tezgah Eviye Deliği Yuvarlak","钢储藏箱  [ddcdfa](168) - 柜台 水槽 有洞 圆弧","鋼儲藏箱  [ddcdfa](168) - 櫃檯盥洗盆圓孔"
cntSteelHollowTop,blocks,block,,,"Steel Storage Crate  [ddcdfa](168) - Counter Hollow Top",n/a  [ddcdfa](168) - n/a,"Stahl-Aufbewahrungskiste  [ddcdfa](168) - Theke – hohl, oben","Embalaje de almacenamiento de acero  [ddcdfa](168) - Parte superior de encimera hueca","Caisse de rangement en acier  [ddcdfa](168) - Comptoir creux, haut","Cassa di stoccaggio d'acciaio  [ddcdfa](168) - Parte superiore vuota del banco","鉄鋼製ストレージ  [ddcdfa](168) - カウンター（中空・上部）","강철 보관함  [ddcdfa](168) - 카운터 비어있음 상단","Skrzynia na towary – stalowa  [ddcdfa](168) - Lada – pusta, góra","Caixote de deposito de aço  [ddcdfa](168) - Topo oco de balcão","Стальной складской ящик  [ddcdfa](168) - Верх пустой стойки","Çelik Depolama Sandığı  [ddcdfa](168) - Tezgâh Oyuk Üst","钢储藏箱  [ddcdfa](168) - 柜台 中空 顶部","鋼儲藏箱  [ddcdfa](168) - 櫃檯空心頂部"
